CustomerID,Lookalikes
C0001,"[('C0184', 0.9982842666091768), ('C0048', 0.9952891302086745), ('C0190', 0.9906164205580824)]"
C0002,"[('C0088', 0.9989518323935592), ('C0092', 0.980115410930339), ('C0106', 0.9705133378521829)]"
C0003,"[('C0076', 0.9832630233514876), ('C0052', 0.9740496136094945), ('C0031', 0.9671015980603384)]"
C0004,"[('C0169', 0.9822343186427108), ('C0087', 0.9788281862000396), ('C0165', 0.966385875481276)]"
C0005,"[('C0186', 0.9990316040148839), ('C0140', 0.9956167654047997), ('C0146', 0.9950003571967968)]"
C0006,"[('C0126', 0.995339767529972), ('C0187', 0.9947456582655262), ('C0011', 0.9919973570681503)]"
C0007,"[('C0146', 0.9999988008032108), ('C0115', 0.9953121244105805), ('C0005', 0.9948640191614581)]"
C0008,"[('C0160', 0.9280065073746641), ('C0059', 0.9193575774076735), ('C0079', 0.9179462137827725)]"
C0009,"[('C0198', 0.9999877514913394), ('C0061', 0.97675654070927), ('C0062', 0.9717638844517439)]"
C0010,"[('C0062', 0.9786640472326195), ('C0111', 0.9763931534396251), ('C0103', 0.956530171589678)]"
C0011,"[('C0006', 0.9919973570681503), ('C0137', 0.9875713536876851), ('C0126', 0.9837967517367833)]"
C0012,"[('C0163', 0.9962556306566289), ('C0113', 0.9869297085611297), ('C0104', 0.9786497221310059)]"
C0013,"[('C0099', 0.9880173884370316), ('C0108', 0.9779745381379595), ('C0107', 0.8639386392900976)]"
C0014,"[('C0060', 0.9995633309573965), ('C0089', 0.9312284936559414), ('C0172', 0.9088566570308694)]"
C0015,"[('C0131', 0.9837858705631984), ('C0036', 0.9767919777506205), ('C0094', 0.9701473329521145)]"
C0016,"[('C0183', 0.9941505985159992), ('C0067', 0.9757850024219122), ('C0098', 0.9679637154629235)]"
C0017,"[('C0041', 0.974799548674038), ('C0057', 0.9639906842805545), ('C0075', 0.9568224332838439)]"
C0018,"[('C0122', 0.9969280407197494), ('C0046', 0.9888039741701822), ('C0194', 0.9597162023675275)]"
C0019,"[('C0073', 0.9980212842326815), ('C0167', 0.9844092070384043), ('C0132', 0.9838186023126869)]"
C0020,"[('C0157', 0.942850218755647), ('C0050', 0.9234953194965176), ('C0035', 0.9204685874481427)]"
